"UniqID","GeneName","UniProtID","ENSG","Tissue","Log2_FC","CI_Upr","CI_Lwr","PVal","Cor_PVal"
"PTPMT1|Q8WUK0","PTPMT1","Q8WUK0","ENSG00000110536","DLPFC",-0.0571451670145,-0.0203927845398066,-0.0938975494891935,0.00253307826255313,0.0262137923015622
"CCNYL1|Q8N7R7","CCNYL1","Q8N7R7","ENSG00000163249","DLPFC",-0.0707128042266263,-0.0249910445262772,-0.116434563926976,0.00272097189957217,0.027480881143789
"PPIL2|Q13356","PPIL2","Q13356","ENSG00000100023","DLPFC",0.10401483654983,0.17170185391165,0.036327819188009,0.0029278684179755,0.0289184657885936
"GTF2I|P78347","GTF2I","P78347","ENSG00000263001","DLPFC",0.0546455885899583,0.0898297463569001,0.0194614308230166,0.00256057698423954,0.0264455630430349
"AQP4|P55087","AQP4","P55087","ENSG00000171885","DLPFC",0.116869585182955,0.19212007413616,0.0416190962297499,0.0025614733853637,0.0264455630430349
"SPATS2L|Q9NUQ6","SPATS2L","Q9NUQ6","ENSG00000196141","DLPFC",-0.0782829114851016,-0.027830346156929,-0.128735476813274,0.00258477752064156,0.026603057858515
"ACSS1|Q9NUB1","ACSS1","Q9NUB1","ENSG00000154930","DLPFC",-0.0530256488354919,-0.018849763418101,-0.0872015342528829,0.00258577980999743,0.026603057858515
"RUVBL1|Q9Y265","RUVBL1","Q9Y265","ENSG00000175792","DLPFC",0.0394040143546741,0.0648142641470777,0.0139937645622704,0.00259911906307545,0.0266491894823792
"SRSF7|Q16629","SRSF7","Q16629","ENSG00000115875","DLPFC",0.0570430080433466,0.0938281351426686,0.0202578809440246,0.00259933117328412,0.0266491894823792
"MTURN|Q8N3F0","MTURN","Q8N3F0","ENSG00000180354","DLPFC",0.0538703345346175,0.0886179921941408,0.0191226768750942,0.00260543634737712,0.0266589702822434
"CBLN4|Q9NTU7","CBLN4","Q9NTU7","ENSG00000054803","DLPFC",-0.0902748138239033,-0.0320433100402534,-0.148506317607553,0.00260633235605011,0.0266589702822434
"LAGE3|Q14657","LAGE3","Q14657","ENSG00000196976","DLPFC",0.0662851294586053,0.109063744167157,0.0235065147500539,0.00261899611652543,0.0267482168355367
"UBA1|P22314","UBA1","P22314","ENSG00000130985","DLPFC",0.031170801348154,0.0512903763237241,0.0110512263725839,0.00262235083116502,0.0267482168355367
"SRXN1|Q9BYN0","SRXN1","Q9BYN0","ENSG00000271303","DLPFC",0.059740031628409,0.0983025305741694,0.0211775326826486,0.00262415873457404,0.0267482168355367
"JCAD|Q9P266","JCAD","Q9P266","ENSG00000165757","DLPFC",-0.0490976670971397,-0.0173693391344441,-0.0808259950598353,0.00265243229773003,0.0270051911883207
"SCIN|Q9Y6U3","SCIN","Q9Y6U3","ENSG00000006747","DLPFC",0.214501301718748,0.3531505830579,0.0758520203795952,0.00265843109457073,0.0270058156951119
"TPM1|P09493-6","TPM1","P09493-6","ENSG00000140416","DLPFC",-0.256767954877443,-0.09079713949471,-0.422738770260177,0.00265861948773473,0.0270058156951119
"TRIQK|E5RGJ1","TRIQK","E5RGJ1","ENSG00000205133","DLPFC",0.0746338762401428,0.123261342256333,0.0260064102239525,0.00290911837040175,0.0288847935493606
"PDK3|Q15120","PDK3","Q15120","ENSG00000067992","DLPFC",-0.0607797066620751,-0.0214794016425053,-0.100080011681645,0.00266721123466544,0.0270619119171981
"PPP2R5E|Q16537","PPP2R5E","Q16537","ENSG00000154001","DLPFC",-0.0348451727819438,-0.0123045205626725,-0.0573858250012151,0.00267805529759303,0.0271407052400893
"UBQLN4|Q9NRR5","UBQLN4","Q9NRR5","ENSG00000160803","DLPFC",0.0549897046196599,0.0905917568093377,0.0193876524299821,0.00270006421054555,0.0273323377088176
"CRK|P46108","CRK","P46108","ENSG00000167193","DLPFC",0.0356143151714586,0.0586838321158415,0.0125447982270757,0.00271302679387726,0.0274320610568989
"HLA-DRA|P01903","HLA-DRA","P01903","ENSG00000204287","DLPFC",0.135713166113647,0.223834257696819,0.0475920745304761,0.00279777027708115,0.0280317506057097
"ALDH3A2|P51648","ALDH3A2","P51648","ENSG00000072210","DLPFC",0.0392826721121592,0.0647484419234723,0.013816902300846,0.00273346033033481,0.0275439082657851
"SGTA|O43765","SGTA","O43765","ENSG00000104969","DLPFC",-0.0371947716180031,-0.0130576674527953,-0.0613318757832109,0.00276039521874338,0.0277835669448178
"CDH10|Q9Y6N8","CDH10","Q9Y6N8","ENSG00000040731","DLPFC",-0.0523078208675893,-0.0183574610503634,-0.0862581806848151,0.00276503646563912,0.027798547910536
"ALPL|P05186","ALPL","P05186","ENSG00000162551","DLPFC",-0.11937336389037,-0.041874476630122,-0.196872251150619,0.00277171680346333,0.0278339715901323
"ACAA2|P42765","ACAA2","P42765","ENSG00000167315","DLPFC",-0.061282553814111,-0.0214731050104035,-0.101092002617818,0.00278759635295215,0.0279615893560627
"EVL|Q9UI08","EVL","Q9UI08","ENSG00000196405","DLPFC",-0.0363018048490176,-0.0127001819012076,-0.0599034277968277,0.00280972627137053,0.0281195874400385
